images\448.jpg Annotatio\448.png
images\CRACK500_20160302_155925_641_361.jpg Annotatio\CRACK500_20160302_155925_641_361.png
images\Rissbilder_for_Florian_9S6A2877_567_755_2893_3323.jpg Annotatio\Rissbilder_for_Florian_9S6A2877_567_755_2893_3323.png
images\Rissbilder_for_Florian_9S6A3119_660_1886_2702_2281.jpg Annotatio\Rissbilder_for_Florian_9S6A3119_660_1886_2702_2281.png
images\Rissbilder_for_Florian_9S6A2849_465_1014_2857_3753.jpg Annotatio\Rissbilder_for_Florian_9S6A2849_465_1014_2857_3753.png
images\Rissbilder_for_Florian_9S6A2845_1154_461_3488_3064.jpg Annotatio\Rissbilder_for_Florian_9S6A2845_1154_461_3488_3064.png
images\Rissbilder_for_Florian_9S6A2874_297_959_3001_3948.jpg Annotatio\Rissbilder_for_Florian_9S6A2874_297_959_3001_3948.png
images\CRACK500_20160328_153821_1281_1081.jpg Annotatio\CRACK500_20160328_153821_1281_1081.png
images\noncrack_noncrack_concrete_wall_54_30.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_54_30.jpg.png
images\CRACK500_20160328_150932_641_361.jpg Annotatio\CRACK500_20160328_150932_641_361.png
images\CRACK500_20160222_164000_1281_361.jpg Annotatio\CRACK500_20160222_164000_1281_361.png
images\CRACK500_20160330_160938_1281_721.jpg Annotatio\CRACK500_20160330_160938_1281_721.png
images\noncrack_noncrack_concrete_wall_5_3.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_5_3.jpg.png
images\CRACK500_20160328_153533_641_1.jpg Annotatio\CRACK500_20160328_153533_641_1.png
images\Rissbilder_for_Florian_9S6A2791_798_436_2165_2591.jpg Annotatio\Rissbilder_for_Florian_9S6A2791_798_436_2165_2591.png
images\CRACK500_20160308_073213_641_721.jpg Annotatio\CRACK500_20160308_073213_641_721.png
images\Rissbilder_for_Florian_9S6A3135_256_1272_3066_4071.jpg Annotatio\Rissbilder_for_Florian_9S6A3135_256_1272_3066_4071.png
images\noncrack_noncrack_concrete_wall_20_59.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_20_59.jpg.png
images\Volker_DSC01655_0_0_2736_1824.jpg Annotatio\Volker_DSC01655_0_0_2736_1824.png
images\Rissbilder_for_Florian_9S6A2863_369_2728_2320_2374.jpg Annotatio\Rissbilder_for_Florian_9S6A2863_369_2728_2320_2374.png
images\CRACK500_20160402_150314_641_721.jpg Annotatio\CRACK500_20160402_150314_641_721.png
images\Explorer_HD2K_SN24855_11-21-12_2.jpg Annotatio\Explorer_HD2K_SN24855_11-21-12_2.png
images\Volker_DSC01633_893_113_1636_1339.jpg Annotatio\Volker_DSC01633_893_113_1636_1339.png
images\aug_20200227_092844.jpg Annotatio\aug_20200227_092844.png
images\Volker_DSC01701_103_539_1579_1680.jpg Annotatio\Volker_DSC01701_103_539_1579_1680.png
images\Rissbilder_for_Florian_9S6A2799_323_2521_3144_2912.jpg Annotatio\Rissbilder_for_Florian_9S6A2799_323_2521_3144_2912.png
images\Volker_DSC01697_866_576_1365_1066.jpg Annotatio\Volker_DSC01697_866_576_1365_1066.png
images\CRACK500_20160308_160128_1921_1.jpg Annotatio\CRACK500_20160308_160128_1921_1.png
images\Rissbilder_for_Florian_9S6A2915_1199_2441_2500_3110.jpg Annotatio\Rissbilder_for_Florian_9S6A2915_1199_2441_2500_3110.png
images\IMG_3562_1.jpg Annotatio\IMG_3562_1.png
images\DeepCrack_11144.jpg Annotatio\DeepCrack_11144.png
images\noncrack_noncrack_concrete_wall_57_1.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_57_1.jpg.png
images\cracktree200_6226.jpg Annotatio\cracktree200_6226.png
images\noncrack_noncrack_concrete_wall_92_4.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_92_4.jpg.png
images\CRACK500_20160308_074321_1281_721.jpg Annotatio\CRACK500_20160308_074321_1281_721.png
images\Rissbilder_for_Florian_9S6A3129_374_115_2733_3299.jpg Annotatio\Rissbilder_for_Florian_9S6A3129_374_115_2733_3299.png
images\IMG_3671_1.jpg Annotatio\IMG_3671_1.png
images\CRACK500_20160316_143629_1_721.jpg Annotatio\CRACK500_20160316_143629_1_721.png
images\Rissbilder_for_Florian_9S6A3085_103_1578_3712_3773.jpg Annotatio\Rissbilder_for_Florian_9S6A3085_103_1578_3712_3773.png
images\CRACK500_20160328_154356_641_361.jpg Annotatio\CRACK500_20160328_154356_641_361.png
images\noncrack_noncrack_concrete_wall_11_0.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_11_0.jpg.png
images\CRACK500_20160316_143527_641_721.jpg Annotatio\CRACK500_20160316_143527_641_721.png
images\noncrack_noncrack_concrete_wall_75_12.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_75_12.jpg.png
images\Eugen_Muller_4470_320_74_620_759.jpg Annotatio\Eugen_Muller_4470_320_74_620_759.png
images\aug_Explorer_HD2K_SN24855_17-25-03_1.jpg Annotatio\aug_Explorer_HD2K_SN24855_17-25-03_1.png
